,id,release_date,movie,production_budget,domestic_gross,total_gross,profitability
5677,78,1915-02-08,The Birth of a Nation,110000,10000000,11000000,100.0
5523,24,1916-09-05,Intolerance,385907,0,0,0.0
5614,15,1916-12-24,"20,000 Leagues Under the Sea",200000,8000000,8000000,40.0
5683,84,1920-09-17,Over the Hill to the Poorhouse,100000,3000000,3000000,30.0
5606,7,1925-11-19,The Big Parade,245000,11000000,22000000,89.79591836734694
4569,70,1925-12-30,Ben-Hur: A Tale of the Christ,3900000,9000000,9000000,2.3076923076923075
4984,85,1927-08-12,Wings,2000000,0,0,0.0
5524,25,1929-02-01,The Broadway Melody,379000,2800000,4358000,11.49868073878628
4559,60,1930-11-15,Hell's Angels,4000000,0,0,0.0
5423,24,1931-12-26,Mata Hari,558000,900000,900000,1.6129032258064515
5618,19,1933-02-09,She Done Him Wrong,200000,2000000,2000000,10.0
5502,3,1933-03-09,42nd Street,439000,1438000,2281000,5.195899772209567
5396,97,1933-04-07,King Kong,672000,10000000,10000650,14.881919642857143
5537,38,1934-02-22,It Happened One Night,325000,2500000,2500000,7.6923076923076925
5405,6,1935-09-06,Top Hat,609000,1782000,3202000,5.257799671592775
5097,98,1936-02-05,Modern Times,1500000,163245,199747,0.13316466666666665
5131,32,1936-06-26,San Francisco,1300000,2868000,5273000,4.056153846153846
5180,81,1936-10-20,The Charge of the Light Brigade,1200000,0,0,0.0
5117,18,1937-12-21,Snow White and the Seven Dwarfs,1488000,184925486,184925486,124.27788037634409
4917,18,1938-05-24,Alexander's Ragtime Band,2000000,4000000,4000000,2.0
5049,50,1938-09-01,You Can't Take It With You,1644000,4000000,4000000,2.4330900243309004
4788,89,1939-08-25,The Wizard of Oz,2777000,34063405,34305476,12.353430320489737
5068,69,1939-10-17,Mr. Smith Goes To Washington,1500000,9000000,9000000,6.0
4567,68,1939-12-15,Gone with the Wind,3900000,198680470,390525192,100.13466461538462
4867,68,1940-02-09,Pinocchio,2289247,84300000,84300000,36.82433568767372
5146,47,1940-03-21,Rebecca,1288000,6000000,6002370,4.6602251552795035
4901,2,1940-08-30,Boom Town,2000000,9172000,9172000,4.586
4868,69,1940-11-13,Fantasia,2280000,83320000,83320000,36.54385964912281
5154,55,1941-10-28,How Green Was My Valley,1250000,0,0,0.0
5346,47,1942-08-13,Bambi,858000,102797000,268000000,312.35431235431236
5668,69,1942-11-16,Cat People,134000,4000000,8000000,59.701492537313435
5209,10,1943-01-23,Casablanca,1039000,10462500,10496855,10.102844080846968
4799,100,1943-12-24,A Guy Named Joe,2627000,5363000,5363000,2.041492196421774
4858,59,1944-06-27,Bathing Beauty,2361000,3500000,3500000,1.4824227022448115
4243,44,1944-08-01,Wilson,5200000,2000000,2000000,0.38461538461538464
4874,75,1945-05-03,The Valley of Decision,2160000,9132000,9132000,4.227777777777778
5073,74,1945-10-31,Spellbound,1500000,7000000,7000000,4.666666666666667
